,acousticness,danceability,duration_ms,energy,if_liked,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
i cheated on u,0.919,0.685,198938,0.317,0,2.97e-06,5,0.263,-9.23,0,0.367,78.773,4,0.473
Halfway To Hell,2.23e-05,0.492,205859,0.861,1,0.00266,0,0.113,-5.118,1,0.0647,134.108,4,0.277
I Bet You Look Good On The Dancefloor,0.00225,0.535,173680,0.948,1,0.0,6,0.376,-4.19,0,0.0356,103.183,4,0.778
Dolphin Dance,0.87,0.378,306200,0.232,0,0.948,0,0.1,-18.05,1,0.0303,148.531,4,0.155
I Should Probably Go To Bed,0.634,0.721,171827,0.277,0,0.0,1,0.112,-7.128,1,0.0365,131.935,4,0.309
Wake Me Up - Avicii By Avicii,0.00275,0.673,425760,0.695,1,0.193,11,0.644,-5.598,0,0.0538,125.005,4,0.43
Schaffex,0.00136,0.715,250541,0.765,1,0.933,1,0.0605,-10.997,1,0.0653,134.025,4,0.268
Nie mamy skrzydeł,0.0319,0.693,250496,0.671,1,0.00108,4,0.128,-7.39,0,0.0385,118.008,4,0.392
Drift,0.00611,0.496,207772,0.966,1,0.953,2,0.0671,-3.568,1,0.0407,126.017,4,0.0615
Tell Me a Bedtime Story,0.713,0.398,301867,0.527,0,0.934,4,0.119,-16.591,0,0.0297,118.504,4,0.353
On Trees And Birds And Fire,0.901,0.589,176800,0.311,1,0.0661,10,0.117,-13.573,1,0.0395,199.887,3,0.641
Ghetto Funk - Extended Mix,0.002,0.719,211534,0.967,1,0.796,1,0.271,-4.002,1,0.108,127.019,4,0.536
Red Lights (feat. Dotter),0.0304,0.707,209455,0.742,1,0.000624,6,0.167,-5.736,0,0.155,109.979,4,0.199
Manea - Radio Edit,0.167,0.649,187568,0.998,1,0.936,9,0.312,-1.08,0,0.149,126.078,4,0.505
I Need A Friend,0.316,0.621,165854,0.903,1,0.228,2,0.208,-7.318,1,0.0394,123.009,4,0.648
Continuum,0.00449,0.658,287813,0.542,0,7.74e-06,5,0.321,-7.713,0,0.043,116.04,4,0.346
Tusa,0.295,0.803,200960,0.715,1,0.000134,2,0.0574,-3.28,1,0.298,101.085,4,0.574
Billie Jean,0.0236,0.92,293827,0.654,0,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4,0.847
"Faces & Lighters (feat. Vein, IAM CHINO & Two Tone) - Tom Staar Remix",0.00939,0.673,292820,0.988,1,0.646,9,0.0558,-3.089,0,0.0558,124.996,4,0.58
Tamagotchi,0.271,0.496,195907,0.448,1,0.399,1,0.37,-12.801,0,0.0465,127.84,4,0.274
Volcanic,0.726,0.647,214213,0.338,0,1.16e-06,4,0.0952,-11.307,0,0.0308,86.836,4,0.502
Mirage - Original,0.0228,0.657,480729,0.608,1,0.887,2,0.13,-9.372,1,0.042,117.029,4,0.248
Burning Out,0.000103,0.255,208974,0.947,0,0.0,0,0.397,-4.14,1,0.071,159.905,4,0.235
The Power Of Love,0.0964,0.768,234333,0.829,0,2.92e-05,5,0.097,-5.109,1,0.0313,118.773,4,0.962
Crooked Kind of Free,0.341,0.619,245103,0.502,0,0.0378,6,0.109,-9.921,0,0.0259,110.973,4,0.215
All Alone,0.983,0.492,310055,0.205,0,0.893,9,0.122,-8.488,0,0.0577,128.315,4,0.109
Secret Kitchen (Jamie Stevens 2001 West Coast Dub),9.46e-05,0.808,405735,0.852,0,0.89,4,0.114,-11.34,0,0.0472,123.987,4,0.708
Stardust,0.00109,0.68,159360,0.96,1,0.0254,11,0.247,-5.655,0,0.108,125.004,4,0.705
City of the Angels,0.838,0.509,644827,0.268,0,0.0169,9,0.131,-15.209,0,0.0352,102.502,4,0.195
