,acousticness,danceability,duration_ms,energy,if_liked,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Riders of Retaliation - Official Dominator Anthem 2015 Radio Edit,0.00878,0.273,285257,0.994,0,0.00321,3,0.679,-3.626,1,0.499,174.159,4,0.0388
W PIĄTKI LEŻĘ W WANNIE,0.743,0.793,220080,0.496,1,0.0,0,0.111,-11.091,1,0.198,103.014,4,0.269
NOLOVE (SŁŻ-SŁŻ),0.303,0.732,224908,0.707,1,4.06e-05,10,0.317,-8.615,0,0.224,77.534,4,0.619
Let A Little Light In,0.709,0.657,234987,0.285,0,0.000257,5,0.113,-11.464,1,0.034,84.024,4,0.331
Ślady czereśni,0.141,0.525,243040,0.406,1,0.0222,5,0.352,-8.703,1,0.0419,85.873,4,0.177
"Crockett's Theme - From ""Miami Vice II"" Soundtrack",0.424,0.408,214933,0.385,0,0.926,7,0.101,-16.604,0,0.0317,191.364,4,0.399
Nightland,0.365,0.533,361169,0.584,1,0.748,6,0.0763,-8.348,0,0.0363,105.0,4,0.192
Barricade - Radio Edit,0.000642,0.736,296250,0.966,1,0.0564,7,0.0921,-3.567,1,0.0954,128.033,4,0.0751
What Would I Change It To (feat. AlunaGeorge),0.274,0.79,185455,0.503,1,3.56e-06,11,0.0787,-8.814,1,0.0987,109.991,4,0.537
Resin,0.895,0.259,203940,0.373,0,0.181,1,0.118,-12.925,0,0.0275,83.295,4,0.196
Gumbo,0.192,0.572,294236,0.699,0,0.0,2,0.152,-5.581,1,0.13,187.717,4,0.834
Joy,0.222,0.559,192523,0.915,0,0.0,9,0.113,-4.811,1,0.132,117.914,4,0.361
Hit The Road Jack,0.107,0.768,197073,0.886,1,0.000222,11,0.121,-2.738,0,0.152,123.052,4,0.58
ASPARTAM,0.513,0.7,204973,0.381,1,0.0,7,0.366,-9.857,1,0.116,130.109,4,0.468
Enola Holmes (Wild Child),0.691,0.362,180453,0.394,0,0.942,0,0.162,-12.429,1,0.0368,77.518,4,0.134
Humans Are Such Easy Prey,0.0002,0.448,262720,0.893,1,0.893,1,0.0706,-2.568,1,0.0367,120.988,4,0.033
Good Life - Kryder Remix,0.000313,0.758,172499,0.826,1,2.86e-06,2,0.0839,-4.829,1,0.065,125.019,4,0.39
Zawzięcie,0.361,0.768,209897,0.57,1,4.57e-05,1,0.106,-5.892,0,0.0279,131.986,4,0.672
Broken Arrows,0.0487,0.634,232760,0.674,1,0.00116,7,0.102,-7.145,1,0.0465,115.995,4,0.298
Swango,0.00235,0.734,353874,0.783,1,0.9,6,0.113,-9.335,0,0.0461,119.995,4,0.506
Toksyna,0.408,0.915,209986,0.734,0,0.0,10,0.102,-7.595,1,0.191,139.944,4,0.934
This Girl - Kungs Vs. Cookin' On 3 Burners,0.0807,0.79,195561,0.705,1,4.81e-05,0,0.251,-4.684,0,0.0383,121.969,4,0.501
Mangüeiro,0.0105,0.739,288308,0.626,1,0.321,2,0.0617,-9.974,1,0.0914,96.985,4,0.499
Heat,0.00362,0.653,230002,0.466,0,1.27e-05,11,0.0806,-9.789,1,0.0569,120.688,4,0.844
Wildest Dreams,0.0369,0.734,235980,0.618,1,0.266,9,0.174,-6.506,0,0.0278,122.008,4,0.177
Baśka,0.0743,0.602,215400,0.716,1,0.000299,7,0.548,-5.895,1,0.0273,100.973,4,0.706
Kawe's Dream,0.964,0.612,206060,0.678,1,0.544,8,0.174,-9.565,1,0.0295,140.943,4,0.651
Czerwona sukienka,0.535,0.504,298959,0.51,1,0.00101,10,0.186,-9.784,0,0.0366,168.082,4,0.2
Back for More (feat. Daecolm) - Mr. Belt & Wezol Remix,0.00403,0.883,251540,0.708,1,0.0831,5,0.113,-5.116,1,0.115,124.981,4,0.56
Song for Denise - Maxi version,0.00567,0.789,422272,0.661,1,0.855,0,0.208,-7.026,0,0.0326,100.114,4,0.945
Addicted To You - Avicii By Avicii,0.118,0.89,331507,0.459,1,0.0127,10,0.0414,-5.453,1,0.0873,126.012,4,0.454
betty,0.6,0.593,294521,0.377,0,0.0,0,0.0976,-8.761,1,0.0253,95.939,4,0.502
Con Calma,0.11,0.737,193227,0.86,1,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.656
Wish I Didn't Miss You,0.348,0.852,269267,0.755,0,0.000265,7,0.0734,-5.253,0,0.0327,123.894,4,0.852
Sleeping (In the Fire),2.25e-05,0.14,235920,0.709,0,1.12e-06,8,0.0778,-7.163,1,0.0364,191.613,4,0.218
Oleanderschwärmer,0.322,0.406,916812,0.496,1,0.877,6,0.255,-12.367,1,0.0463,106.654,1,0.227
Metaphysical,0.212,0.797,339000,0.722,1,0.06,7,0.105,-6.846,0,0.0401,120.036,4,0.233
Heaven (feat. Delaney Jane) - Extended Mix,0.0243,0.691,328962,0.916,1,0.357,7,0.116,-4.148,0,0.0555,125.995,4,0.238
Halayo,0.53,0.455,234627,0.442,1,0.131,0,0.0837,-11.469,0,0.0791,112.689,5,0.228
Summer 91,0.00768,0.513,149280,0.954,0,0.00152,2,0.289,-5.566,1,0.0451,125.029,4,0.339
double D’s,0.316,0.92,181440,0.442,1,0.0,11,0.106,-9.719,0,0.185,139.936,4,0.605
Wszyscy Mówią,0.0146,0.784,201612,0.857,0,0.0,7,0.364,-5.898,1,0.271,150.141,4,0.548
Bez słów,0.0176,0.744,217373,0.752,1,0.000119,4,0.662,-5.938,0,0.124,90.993,4,0.377
Mówią mi,0.245,0.721,245625,0.526,1,0.0,2,0.0963,-7.467,0,0.0406,120.051,3,0.525
Enjoy Yourself (feat. Burna Boy) - Remix,0.454,0.773,197938,0.688,0,0.0,11,0.214,-6.935,0,0.146,96.955,4,0.441
Łuny,0.00227,0.704,197810,0.825,1,1.31e-06,9,0.1,-4.113,0,0.0379,120.052,4,0.209
Them,0.829,0.496,240648,0.214,1,0.861,6,0.0759,-21.111,1,0.0323,100.031,3,0.0494
Something,0.00311,0.71,179614,0.964,1,5.47e-05,11,0.0567,-3.755,0,0.0682,125.004,4,0.324
Time,0.0499,0.785,467747,0.66,0,0.895,8,0.302,-11.746,1,0.0602,131.997,4,0.0627
Children,0.000841,0.479,214154,0.939,1,0.951,6,0.931,-4.884,0,0.0468,130.045,4,0.149
Until I Met You,0.161,0.599,200938,0.677,0,1.02e-05,2,0.345,-8.642,1,0.0371,91.044,4,0.743
Coco Bongo,0.0737,0.714,177015,0.946,1,0.912,9,0.467,-5.362,0,0.0494,124.995,4,0.695
.img,0.00602,0.724,347237,0.695,0,0.0735,11,0.387,-5.756,0,0.065,114.998,4,0.721
Biegnij Dalej Sam,0.0976,0.679,246224,0.565,1,0.0,7,0.0791,-5.465,0,0.0304,86.014,4,0.521
Młody 2Pac,0.574,0.644,195310,0.65,0,0.0,5,0.121,-5.819,0,0.0974,145.056,4,0.44
Trze'a było,0.283,0.858,243507,0.701,1,1.32e-06,11,0.134,-5.898,0,0.168,95.994,4,0.762
The Last Goodbye,0.896,0.277,247360,0.178,1,1.75e-05,0,0.0854,-14.057,1,0.0325,87.417,4,0.173
Shake It,0.000697,0.351,239853,0.964,0,0.0304,4,0.181,-3.745,0,0.12,185.923,4,0.496
Somewhere In Stockholm,0.61,0.466,202907,0.767,1,0.0,7,0.106,-5.055,1,0.105,127.577,4,0.513
Drop That Booty,0.0146,0.882,219146,0.907,1,0.000133,5,0.77,-4.561,1,0.269,122.998,4,0.696
Blame - Claptone Remix,0.00923,0.744,214430,0.744,1,0.0245,11,0.103,-6.77,0,0.0484,122.007,4,0.651
Play我呸 - Alesso Remix Version,0.00916,0.464,227386,0.901,1,5.78e-05,6,0.156,-2.411,1,0.0788,105.028,4,0.353
Piękne dłonie,0.773,0.472,286013,0.596,1,0.493,5,0.157,-6.79,0,0.0287,136.043,4,0.117
Moving On,0.0444,0.562,221538,0.799,1,0.00257,1,0.334,-5.263,1,0.0421,116.978,4,0.225
Stan dusz,0.764,0.478,220564,0.717,0,0.000101,4,0.546,-5.571,1,0.0386,80.051,4,0.373
We Got Used To Us,0.443,0.562,250880,0.444,0,0.0108,7,0.0943,-11.08,0,0.0273,140.035,4,0.205
Technicolor Yawn,0.128,0.793,140000,0.47,1,0.472,2,0.128,-11.62,1,0.0737,119.995,4,0.28
Inni mówią,0.107,0.642,189806,0.617,0,0.0,1,0.155,-8.7,1,0.0377,132.008,4,0.651
Holdin On,0.17,0.43,154414,0.436,1,0.0,8,0.128,-4.816,1,0.119,90.053,4,0.217
Mental Energy,0.00248,0.734,372934,0.949,1,0.891,4,0.108,-8.306,0,0.0456,129.986,4,0.167
"Panie, to Wyście!",0.344,0.799,225200,0.705,1,8.07e-06,2,0.544,-8.052,1,0.138,94.007,4,0.543
1 4 U - Max Styler Remix,0.0523,0.677,192656,0.949,0,0.53,11,0.157,-4.729,1,0.0529,127.965,4,0.42
Something To Do,0.0883,0.562,288046,0.736,0,0.0401,1,0.0874,-5.367,1,0.14,202.06,4,0.749
Update,0.035,0.773,243905,0.997,1,0.943,6,0.0854,-0.123,1,0.0668,125.005,4,0.778
With You (feat. Fmlybnd),0.627,0.274,202024,0.345,1,0.0288,2,0.34,-7.647,1,0.0352,94.39,3,0.0345
Derezzed,0.0662,0.471,262240,0.51,1,0.00282,8,0.106,-7.674,1,0.0837,97.076,4,0.166
California,0.68,0.776,218867,0.401,0,0.00198,9,0.112,-9.35,0,0.0251,101.011,4,0.443
Out Of My System - Galantis Remix,0.0143,0.676,204527,0.814,1,0.226,7,0.144,-5.604,0,0.076,123.969,4,0.438
Dance Like This,0.0166,0.753,281605,0.806,0,0.0,0,0.129,-6.916,1,0.0449,105.98,4,0.67
If You Want Me to Stay,0.00483,0.323,321845,0.892,0,4.36e-05,1,0.282,-6.379,0,0.172,199.931,4,0.504
TIJUANA,0.472,0.853,196040,0.76,1,2.4e-06,11,0.098,-7.423,0,0.275,104.986,4,0.639
Even Angels Cry,0.0276,0.563,287293,0.414,0,0.0,10,0.155,-10.914,1,0.027,132.107,4,0.193
Caracol,0.907,0.573,250493,0.343,1,0.000688,9,0.1,-13.36,0,0.0438,174.019,4,0.405
Jaguar,0.00902,0.723,211115,0.628,0,0.00131,6,0.0812,-7.41,1,0.0553,106.017,4,0.364
Not Alone,0.0668,0.82,404000,0.674,1,0.729,2,0.1,-9.901,0,0.0656,119.997,4,0.634
Not Gonna Get It,0.011,0.573,196453,0.886,0,9.14e-05,5,0.0719,-6.141,0,0.0392,161.597,4,0.425
Rocznik 92,0.0138,0.648,201629,0.595,0,2.05e-06,6,0.0847,-6.117,0,0.0309,113.978,4,0.416
Cinnamon,0.934,0.301,280892,0.264,1,0.0121,2,0.105,-13.635,0,0.0388,84.349,4,0.268
Santa Ana Winds,0.486,0.557,256353,0.433,0,0.0115,7,0.0972,-9.104,1,0.0289,124.772,4,0.612
"Yo x Ti, Tu x Mi",0.462,0.78,201040,0.759,1,0.000868,1,0.143,-3.292,1,0.225,91.952,4,0.579
Shake It - 45,0.114,0.709,176975,0.913,0,0.436,1,0.0605,-6.941,1,0.0485,106.723,4,0.916
Mokotow,0.578,0.616,185707,0.648,1,0.00819,7,0.134,-7.884,1,0.0367,139.94,4,0.699
Telefon,0.12,0.756,202823,0.59,1,0.0,7,0.115,-6.492,1,0.0776,109.984,4,0.558
Find a Way,0.007,0.442,236787,0.78,0,0.0,5,0.167,-5.576,1,0.0479,154.001,4,0.666
Mangalacharana,0.435,0.489,254653,0.548,1,0.245,0,0.106,-9.291,0,0.0333,155.692,4,0.334
Pura Flor,0.875,0.713,237613,0.218,0,0.00679,6,0.111,-14.27,0,0.0324,104.031,4,0.279
My Love - Radio Edit,0.374,0.666,176640,0.802,1,0.828,6,0.126,-7.23,0,0.0304,125.017,4,0.252
Tańcz (feat. Ania Karwan),0.147,0.721,219545,0.62,1,0.00469,5,0.133,-7.966,0,0.208,149.953,4,0.543
Hydropiekłowstąpienie,0.551,0.756,346276,0.607,1,0.0858,6,0.365,-9.435,0,0.0411,119.991,4,0.564
candy.doll,0.299,0.717,136150,0.599,1,0.00404,11,0.0594,-11.471,0,0.116,81.027,4,0.22
Top to Toe,0.908,0.569,216416,0.184,1,0.0,1,0.114,-12.842,1,0.0584,110.916,4,0.309
Touch - VIP Remix,0.0351,0.575,199175,0.863,1,8.23e-05,6,0.0822,-4.972,0,0.041,96.967,4,0.399
Renegade Mastah - Original Mix,0.00139,0.736,243958,0.892,1,2.17e-05,1,0.0703,-4.323,1,0.0697,126.029,4,0.636
Hearts Town,0.0982,0.534,197267,0.419,0,0.0,4,0.0988,-8.925,1,0.0368,130.114,4,0.125
Sunshine Reggae,0.101,0.704,257667,0.79,0,0.00657,8,0.0769,-5.756,1,0.0432,167.816,4,0.933
Kyrie - Edit,0.0106,0.653,240000,0.796,1,0.761,4,0.116,-7.334,0,0.0516,120.026,4,0.0672
"Maybe It’s Time (feat. Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION, Tommy Vext)",0.00158,0.396,254201,0.781,0,0.0,0,0.185,-5.148,1,0.0377,145.06,4,0.201
Con Altura,0.39,0.882,161627,0.689,1,0.00325,6,0.0501,-4.027,1,0.124,97.963,4,0.746
Na Boso,0.0398,0.773,200855,0.873,0,0.0,0,0.0893,-6.81,1,0.0889,146.009,4,0.911
Sledgehammer,0.0246,0.657,313533,0.685,0,0.0,1,0.037,-5.203,1,0.0334,96.458,4,0.424
Homework,0.163,0.672,263602,0.52,1,0.861,8,0.107,-11.811,0,0.0403,112.012,4,0.583
Liar Liar - Avicii By Avicii,0.00293,0.677,305960,0.824,1,0.28,11,0.0278,-6.62,0,0.0597,127.985,4,0.334
Moon Rocks,0.0016,0.788,453120,0.625,1,0.905,1,0.299,-6.428,1,0.0375,125.012,4,0.439
ty mówisz stój - radio edit,0.0194,0.685,228252,0.823,0,1.06e-06,6,0.104,-8.566,1,0.0364,143.073,4,0.9
Hałas!,0.0997,0.792,164953,0.491,1,0.0,1,0.513,-9.009,1,0.442,98.382,4,0.696
Head & Heart (feat. MNEK),0.168,0.734,166028,0.874,0,1.14e-05,8,0.0489,-3.158,1,0.0662,122.953,4,0.905
Aguardiente - Jude & Frank Remix,0.000902,0.76,374400,0.837,1,0.782,10,0.0788,-3.654,0,0.0535,124.998,4,0.497
Młoda para,0.00135,0.541,234000,0.923,0,0.0367,6,0.332,-8.009,0,0.0468,155.037,4,0.968
Hamburg,0.00184,0.549,289271,0.553,1,0.763,9,0.102,-10.962,1,0.0298,119.988,4,0.322
Onnaw,0.00199,0.635,232628,0.835,1,0.849,10,0.102,-12.165,0,0.0464,122.001,4,0.158
[Insert Girls Name Here],1.71e-05,0.297,188267,0.913,0,0.317,3,0.157,-7.853,0,0.128,169.856,4,0.361
We'll Be Heard,0.179,0.798,217561,0.763,1,6.49e-05,6,0.141,-4.719,0,0.0896,122.951,4,0.637
Espíritu Eterno,0.782,0.595,263000,0.479,1,0.000148,7,0.105,-10.796,0,0.0441,88.039,4,0.545
Luzno,0.0899,0.798,195615,0.633,1,0.0,5,0.159,-6.431,0,0.052,125.961,4,0.843
Up All Night,0.00103,0.665,157220,0.712,0,0.00342,1,0.102,-7.536,1,0.0527,93.989,4,0.669
Papaoutai,0.0266,0.734,232147,0.809,1,0.0,10,0.0642,-7.264,0,0.0839,116.024,4,0.254
Your Life,0.0747,0.672,185869,0.885,1,0.568,8,0.368,-7.782,1,0.038,128.005,4,0.287
Dancing with Tears in My Eyes - Single Version / 2009 Remaster,0.0856,0.592,249493,0.916,0,9.27e-05,9,0.161,-6.9,1,0.0482,144.262,4,0.886
Me and My Guitar,0.015,0.762,246996,0.623,1,0.0869,4,0.437,-5.921,0,0.0303,120.0,4,0.0681
Fire Alarm,0.000148,0.499,237107,0.938,0,0.0204,6,0.302,-3.806,0,0.0606,145.047,4,0.479
Anyway,0.00022,0.804,210001,0.471,1,0.825,11,0.063,-9.793,0,0.102,120.006,4,0.153
Midnight Love Affair,0.492,0.744,214547,0.476,0,0.0631,5,0.0837,-16.595,0,0.067,78.854,4,0.875
Deconstructing Self-Destruction,3.44e-05,0.396,273435,0.988,0,0.0056,7,0.587,-3.747,1,0.163,89.797,4,0.123
FIND YOUR WAY BACK - MELO-X Remix,0.0227,0.777,216339,0.588,0,0.0545,7,0.267,-9.759,1,0.0756,119.109,4,0.195
Przypadki,0.259,0.531,357413,0.628,1,0.0531,6,0.153,-13.955,0,0.0381,166.998,4,0.637
I Want It All (ft. PollyAnna),0.0147,0.579,166038,0.941,1,1.67e-06,10,0.189,-4.029,0,0.0866,124.989,4,0.528
Shadows of Love (feat. Heidi Rojas),0.0585,0.722,223991,0.834,1,0.0,2,0.259,-4.412,0,0.118,119.877,4,0.398
Otic,0.000639,0.601,272000,0.869,1,0.954,0,0.0909,-7.674,0,0.0349,119.988,4,0.0768
El Guararé (Radio Edit) (feat. Vicente García),0.00326,0.764,225587,0.88,1,0.000239,7,0.213,-5.294,0,0.0388,115.011,4,0.804
7 Summers,0.431,0.625,210123,0.775,0,5.23e-05,0,0.12,-5.199,1,0.0248,101.961,4,0.588
Live The Life - Radio Edit,0.00715,0.916,199960,0.822,1,0.0426,0,0.0313,-5.58,1,0.0945,122.977,4,0.77
Corazon de Rubi,0.792,0.422,254816,0.334,0,0.244,11,0.0848,-15.56,0,0.0355,132.033,3,0.645
Still Standing,0.0538,0.73,152307,0.511,0,4.18e-05,1,0.203,-6.921,0,0.04,140.054,4,0.49
Love Reggae (feat. Tinashe),0.263,0.707,207158,0.525,0,5.92e-06,3,0.111,-7.294,0,0.0818,142.034,4,0.855
Good Life,0.172,0.716,244773,0.783,0,0.0346,4,0.0327,-12.876,0,0.0496,121.306,4,0.952
Music Box,0.164,0.699,190000,0.841,1,0.868,1,0.093,-8.291,1,0.0425,120.023,4,0.0381
Close 2 U,0.0185,0.56,232381,0.849,1,0.0,6,0.114,-5.528,0,0.106,125.984,4,0.469
Late Night - Solomun Remix,0.0242,0.849,504347,0.574,1,0.573,7,0.104,-11.77,1,0.0532,122.002,4,0.161
Bad At Love - Autograf Remix,0.416,0.736,201356,0.88,1,0.0,9,0.117,-4.416,0,0.0515,118.038,4,0.578
Luxury - Live Acoustic,0.822,0.659,207250,0.331,1,0.0,2,0.127,-7.403,1,0.0361,85.951,4,0.319
Alone Together - Rudy Van Gelder Remaster,0.985,0.336,190400,0.0619,0,0.891,5,0.11,-20.494,0,0.0363,60.705,4,0.197
Colorada - Original Mix,0.000541,0.749,312000,0.989,1,0.655,4,0.0364,-3.923,0,0.0609,125.031,4,0.557
Come and Go - Dombresky Remix,0.0286,0.878,174524,0.918,0,0.00267,0,0.336,-5.222,1,0.0662,126.03,4,0.83
Bliżej,0.121,0.724,247311,0.909,1,0.0195,10,0.0907,-6.993,0,0.0464,118.999,4,0.33
Oh No,0.315,0.558,164835,0.884,1,0.00633,1,0.13,-3.836,1,0.0319,139.476,4,0.653
Lazy Afternoon,0.982,0.286,332133,0.0553,0,0.592,5,0.0989,-20.216,0,0.034,52.789,4,0.182
Gorzka woda (prod. Auer) - Remix,0.0269,0.652,342387,0.841,1,1.31e-06,6,0.165,-4.884,0,0.0587,136.021,4,0.533
Prendío,0.168,0.83,189719,0.544,1,1.33e-05,11,0.132,-9.784,0,0.0869,124.974,4,0.896
Beyond the Realms of Death,0.039,0.28,409800,0.714,0,3.26e-05,11,0.164,-5.653,0,0.0314,174.088,4,0.539
Planets,0.473,0.256,225176,0.443,1,0.000145,4,0.0736,-12.09,1,0.0604,85.178,4,0.0664
Send It,0.0199,0.646,182671,0.979,0,0.776,4,0.38,-5.312,0,0.101,124.066,4,0.091
Sirius,0.166,0.323,269502,0.484,1,0.95,10,0.104,-8.873,1,0.0501,121.725,4,0.0777
Flames,0.121,0.748,168093,0.519,0,0.000147,5,0.198,-6.426,0,0.133,149.957,4,0.224
Lata Dwudzieste,0.131,0.674,221092,0.6,1,8.86e-05,8,0.0849,-11.7,0,0.0494,75.985,4,0.912
"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",0.559,0.581,300840,0.0549,1,0.0,10,0.0718,-20.514,0,0.0397,152.037,4,0.234
The Tide (feat. Chmara),0.00781,0.652,249393,0.834,1,0.706,0,0.2,-8.978,1,0.0378,120.005,4,0.536
ZTM,0.369,0.816,279947,0.56,1,0.0,10,0.474,-7.602,0,0.178,139.022,4,0.632
Shotta Flow 5,0.0838,0.806,145167,0.749,0,0.0,1,0.0621,-5.268,1,0.328,140.032,4,0.77
Lifeline,0.0371,0.57,219048,0.687,0,0.0,5,0.413,-7.547,0,0.196,125.983,4,0.277
Whims,0.0083,0.635,264348,0.859,1,0.839,4,0.0998,-8.144,0,0.0509,120.01,4,0.0494
Singularity,0.0484,0.752,421307,0.487,1,0.871,10,0.0925,-12.53,0,0.0492,120.999,4,0.0378
Vision,0.146,0.793,376157,0.909,0,0.905,7,0.112,-11.909,1,0.0834,133.999,4,0.219
Gdzie Tak Pięknie?,0.0829,0.876,206765,0.706,1,0.0,2,0.0726,-8.984,1,0.427,102.191,4,0.792
Prognozy,0.234,0.6,213500,0.533,1,2.58e-05,5,0.0789,-8.579,0,0.202,82.917,4,0.331
Ulatuje,0.0967,0.547,182120,0.557,1,0.0,5,0.303,-9.145,0,0.0484,104.877,4,0.363
Overdrive (feat. Rhea Raj),0.141,0.801,182857,0.931,1,0.001,7,0.108,-2.146,1,0.0748,126.017,4,0.662
Amnesiac,0.0267,0.693,436799,0.613,1,0.347,8,0.186,-8.14,0,0.0406,123.005,4,0.155
Razem,0.796,0.529,241962,0.123,1,0.0319,7,0.0993,-18.457,0,0.0336,72.961,4,0.16
Magalenha,0.0222,0.751,209551,0.896,1,0.000241,7,0.135,-3.999,1,0.0456,125.986,4,0.247
Piątek,0.376,0.681,199040,0.699,1,3.87e-06,8,0.0623,-7.121,0,0.0721,104.998,4,0.563
Graveyard,0.231,0.667,181806,0.583,0,4.48e-05,11,0.181,-5.127,0,0.0747,92.043,4,0.187
Just in case,0.43,0.536,239575,0.969,0,1.26e-06,6,0.082,-2.62,0,0.0915,84.881,4,0.805
Stars,0.00391,0.655,248133,0.76,1,0.00318,9,0.109,-7.243,1,0.045,119.987,4,0.0645
Final Song,0.014,0.695,235827,0.672,1,8.44e-05,1,0.0756,-6.109,0,0.0345,104.988,4,0.245
Liberian Girl - 2012 Remastered Version,0.464,0.749,232800,0.546,0,0.00191,8,0.126,-7.217,0,0.103,105.232,4,0.454
Pajarillo Negro,0.249,0.519,242493,0.541,0,0.0,5,0.0952,-6.804,0,0.0355,73.935,4,0.289
Pushin' On,0.00999,0.695,199560,0.937,0,0.234,6,0.136,-3.642,0,0.0733,104.721,4,0.884
"Young Lady, You're Scaring Me",0.0113,0.371,220538,0.921,0,2.7e-05,9,0.43,-5.533,1,0.0784,109.675,4,0.508
Black Day,0.0757,0.826,337267,0.34,1,0.057,11,0.082,-12.945,0,0.0729,116.001,4,0.0476
Tijeras,0.137,0.545,136726,0.717,0,2.46e-06,9,0.141,-4.315,1,0.257,125.893,3,0.306
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.157,0.842,212500,0.801,1,4.82e-06,8,0.0642,-4.167,0,0.228,95.881,4,0.617
HyperParadise - Flume Remix,0.218,0.463,79358,0.722,1,0.0,6,0.0977,-8.507,1,0.203,145.447,4,0.157
Abbebe - Sainte Vie Remix,0.146,0.754,436200,0.476,1,0.867,1,0.0897,-11.792,1,0.0494,115.007,4,0.344
Breaking Me,0.223,0.789,166794,0.72,0,0.0,8,0.129,-5.652,0,0.218,122.031,4,0.664
Castles,0.0046,0.672,211838,0.752,0,0.00047,4,0.056,-4.866,1,0.0843,116.945,4,0.429
Nothing else matters,0.0263,0.36,217586,0.884,0,0.00448,9,0.0979,-8.426,0,0.0373,174.083,3,0.159
Freddie,0.0257,0.455,224360,0.449,0,0.000569,1,0.175,-7.369,1,0.0274,134.782,4,0.184
Kisloty People,6.28e-05,0.663,361696,0.826,1,0.034,6,0.0953,-7.79,0,0.0501,144.99,4,0.69
"A Whole New World - From ""Aladdin""",0.911,0.353,163240,0.321,0,0.83,0,0.0947,-12.743,1,0.0313,125.197,4,0.169
Downward Spiral,0.00219,0.813,214009,0.919,1,0.539,11,0.51,-7.352,0,0.0441,122.995,4,0.681
Callaita,0.6,0.61,250534,0.624,1,2.12e-06,2,0.243,-4.773,1,0.309,176.169,4,0.244
Sirene - Original Mix,0.188,0.681,368930,0.953,1,0.907,2,0.058,-4.003,0,0.0968,126.006,4,0.636
Our Story - Hourglass Finale,0.0654,0.377,294182,0.309,1,5.87e-06,8,0.0596,-9.396,1,0.0322,131.797,5,0.177
Fame feat. MP - Catz 'N Dogz and Martin Dawson Sweet Saturday Remix,0.00104,0.715,452165,0.779,1,0.91,1,0.0776,-9.918,1,0.0387,119.998,4,0.466
Kamar,0.0103,0.827,385706,0.395,1,0.782,10,0.0838,-9.262,0,0.0753,119.003,4,0.0502
Everything,0.124,0.486,318425,0.868,1,0.0938,0,0.145,-6.641,0,0.0864,127.033,4,0.0805
Death Diviner,1.78e-05,0.464,305813,0.955,0,0.00399,4,0.368,-4.849,1,0.0617,106.016,4,0.219
Let Love Heal,0.683,0.637,200733,0.395,0,0.000333,6,0.139,-9.351,1,0.0252,109.961,4,0.494
Around the World - Radio Edit [Radio Edit],0.00417,0.934,241467,0.76,1,0.906,7,0.0656,-5.549,1,0.148,121.302,4,0.864
Switch,0.0465,0.77,203990,0.894,1,0.527,4,0.226,-6.402,0,0.153,114.983,4,0.831
Talk It Out,0.0681,0.381,190726,0.897,0,0.0321,11,0.163,-4.092,1,0.0427,89.157,4,0.532
"DALE CINTURA (Kuliki) (feat. Steve Aoki, Kiko El Crazy & Toño Rosario)",0.0564,0.872,220032,0.897,0,1.79e-05,1,0.382,-3.328,1,0.161,130.0,4,0.75
Chica Cascada (feat. Mariana Päraway),0.128,0.827,328887,0.571,0,0.611,6,0.0974,-11.123,1,0.0936,119.977,4,0.185
Drifting,0.0189,0.783,576054,0.746,1,0.843,2,0.145,-9.24,0,0.0411,125.998,4,0.0378
Blue World,0.732,0.477,368253,0.733,0,0.0756,8,0.153,-8.301,1,0.0682,120.42,3,0.385
Quirk,0.886,0.471,216064,0.472,1,0.108,6,0.0861,-9.794,0,0.186,80.257,4,0.419
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",0.061,0.813,231067,0.615,0,0.0,10,0.654,-5.624,0,0.132,111.039,4,0.321
Aftermath,0.0408,0.729,202017,0.989,1,0.0353,5,0.259,-3.695,0,0.158,124.993,4,0.372
Moodulations,0.000113,0.804,397143,0.826,1,0.927,6,0.118,-8.881,0,0.0511,125.994,4,0.178
Małpi Gaj,0.434,0.613,275080,0.809,1,0.0,0,0.152,-4.123,1,0.198,88.392,4,0.537
Sandcastles - Radio Edit,0.0388,0.403,193125,0.902,1,0.0,0,0.348,-3.729,1,0.0619,127.96,4,0.434
Good Life - Florian Picasso Remix,0.00511,0.668,215238,0.823,1,0.000856,11,0.312,-8.011,0,0.206,125.989,4,0.311
A Little Bit Off,0.00839,0.664,190718,0.828,0,0.0,0,0.294,-6.053,1,0.0404,103.985,4,0.82
E Samba (Radio Edit),0.00415,0.637,216533,0.967,1,0.31,7,0.106,-8.091,1,0.0632,124.964,4,0.717
Bamboleo,0.414,0.671,203173,0.884,0,0.00015,6,0.0701,-9.267,0,0.0586,119.574,4,0.933
Czerwiec,0.00177,0.634,197280,0.674,0,0.0,6,0.309,-9.616,0,0.0329,140.039,4,0.697
Mami,0.598,0.616,189493,0.649,0,1.9e-06,7,0.0788,-6.555,0,0.464,189.862,4,0.656
Kto Tam? Kto Jest w Środku?,0.171,0.572,199280,0.794,0,1.47e-05,0,0.778,-6.415,1,0.0394,122.03,4,0.203
