,acousticness,analysis_url,danceability,duration_ms,energy,id,if_liked,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
Agua,0.00843,https://api.spotify.com/v1/audio-analysis/4mTfNGHVUmcD1Fdg3AQVlG,0.731,366614,0.97,4mTfNGHVUmcD1Fdg3AQVlG,1,0.354,9,0.0349,-3.546,0,0.0892,126.998,4,https://api.spotify.com/v1/tracks/4mTfNGHVUmcD1Fdg3AQVlG,audio_features,spotify:track:4mTfNGHVUmcD1Fdg3AQVlG,0.488
Agua De Estrellas - Mose Remix,0.231,https://api.spotify.com/v1/audio-analysis/4wK9Nb8s43DQhUn0sjeIy3,0.749,611613,0.416,4wK9Nb8s43DQhUn0sjeIy3,1,0.0771,1,0.159,-10.472,1,0.0323,124.007,4,https://api.spotify.com/v1/tracks/4wK9Nb8s43DQhUn0sjeIy3,audio_features,spotify:track:4wK9Nb8s43DQhUn0sjeIy3,0.439
Agua de Estrellas,0.186,https://api.spotify.com/v1/audio-analysis/6P4dpfggtssJZwgmnul3Th,0.378,591200,0.432,6P4dpfggtssJZwgmnul3Th,1,0.0,7,0.0445,-9.994,0,0.0706,86.101,4,https://api.spotify.com/v1/tracks/6P4dpfggtssJZwgmnul3Th,audio_features,spotify:track:6P4dpfggtssJZwgmnul3Th,0.152
Aguardiente - Jude & Frank Remix,0.000902,https://api.spotify.com/v1/audio-analysis/49qSbmHzIrSc9QRavmmXsu,0.76,374400,0.837,49qSbmHzIrSc9QRavmmXsu,1,0.782,10,0.0788,-3.654,0,0.0535,124.998,4,https://api.spotify.com/v1/tracks/49qSbmHzIrSc9QRavmmXsu,audio_features,spotify:track:49qSbmHzIrSc9QRavmmXsu,0.497
Ain't No Rest For The Wicked - Original Version,0.0597,https://api.spotify.com/v1/audio-analysis/5c5a2Ptu8eyIpljhQHjIqk,0.635,175493,0.914,5c5a2Ptu8eyIpljhQHjIqk,1,0.0,0,0.601,-5.631,1,0.111,156.014,4,https://api.spotify.com/v1/tracks/5c5a2Ptu8eyIpljhQHjIqk,audio_features,spotify:track:5c5a2Ptu8eyIpljhQHjIqk,0.922
Aionios,0.537,https://api.spotify.com/v1/audio-analysis/6aN66jm2b0rNQ5KYMsKjYH,0.683,232792,0.576,6aN66jm2b0rNQ5KYMsKjYH,1,4.49e-05,5,0.243,-7.798,0,0.06,97.952,4,https://api.spotify.com/v1/tracks/6aN66jm2b0rNQ5KYMsKjYH,audio_features,spotify:track:6aN66jm2b0rNQ5KYMsKjYH,0.386
Airodime,0.0485,https://api.spotify.com/v1/audio-analysis/0cYyusDOIqu1OPVAGpNwdT,0.621,366304,0.942,0cYyusDOIqu1OPVAGpNwdT,1,0.841,2,0.0925,-4.768,0,0.0432,128.001,4,https://api.spotify.com/v1/tracks/0cYyusDOIqu1OPVAGpNwdT,audio_features,spotify:track:0cYyusDOIqu1OPVAGpNwdT,0.414
Alegria [Federal Music Anthem 2017],0.0061,https://api.spotify.com/v1/audio-analysis/0UeVXJxBP3HYbx1XsCMZCP,0.735,319840,0.975,0UeVXJxBP3HYbx1XsCMZCP,1,0.762,7,0.123,-4.904,1,0.0652,124.994,4,https://api.spotify.com/v1/tracks/0UeVXJxBP3HYbx1XsCMZCP,audio_features,spotify:track:0UeVXJxBP3HYbx1XsCMZCP,0.331
Alegría,0.325,https://api.spotify.com/v1/audio-analysis/6BYyn8n2EzMKzTduQ0sug1,0.672,272164,0.548,6BYyn8n2EzMKzTduQ0sug1,1,0.00701,5,0.104,-10.691,0,0.0449,98.993,4,https://api.spotify.com/v1/tracks/6BYyn8n2EzMKzTduQ0sug1,audio_features,spotify:track:6BYyn8n2EzMKzTduQ0sug1,0.325
All I Need,0.0303,https://api.spotify.com/v1/audio-analysis/12wyGF0d1ohSLtJ0wF5Sjy,0.608,254146,0.875,12wyGF0d1ohSLtJ0wF5Sjy,1,0.327,11,0.156,-8.835,0,0.0381,122.989,4,https://api.spotify.com/v1/tracks/12wyGF0d1ohSLtJ0wF5Sjy,audio_features,spotify:track:12wyGF0d1ohSLtJ0wF5Sjy,0.356
All I Need to Get High - Ae:ther Dreaming Dub Remix,0.000117,https://api.spotify.com/v1/audio-analysis/2Z2RVWzEq2oOUlQsnBCYOl,0.734,508732,0.757,2Z2RVWzEq2oOUlQsnBCYOl,1,0.891,4,0.103,-11.997,0,0.047,125.025,4,https://api.spotify.com/v1/tracks/2Z2RVWzEq2oOUlQsnBCYOl,audio_features,spotify:track:2Z2RVWzEq2oOUlQsnBCYOl,0.0325
All You Need Is Love,0.0351,https://api.spotify.com/v1/audio-analysis/7oSlMkRv5AhPnnGWdFTv20,0.772,381120,0.425,7oSlMkRv5AhPnnGWdFTv20,1,0.0247,6,0.0428,-4.838,1,0.092,125.022,4,https://api.spotify.com/v1/tracks/7oSlMkRv5AhPnnGWdFTv20,audio_features,spotify:track:7oSlMkRv5AhPnnGWdFTv20,0.445
All of Us (feat. ANIMA!),0.351,https://api.spotify.com/v1/audio-analysis/058tTEoDnnrmCWl9gkpBcZ,0.642,229302,0.709,058tTEoDnnrmCWl9gkpBcZ,1,1.54e-06,11,0.221,-6.713,0,0.0353,128.956,4,https://api.spotify.com/v1/tracks/058tTEoDnnrmCWl9gkpBcZ,audio_features,spotify:track:058tTEoDnnrmCWl9gkpBcZ,0.6
Alors on danse,0.0994,https://api.spotify.com/v1/audio-analysis/2GYHyAoLWpkxLVa4oYTVko,0.791,206067,0.59,2GYHyAoLWpkxLVa4oYTVko,1,0.00203,1,0.065,-9.206,0,0.0793,119.951,4,https://api.spotify.com/v1/tracks/2GYHyAoLWpkxLVa4oYTVko,audio_features,spotify:track:2GYHyAoLWpkxLVa4oYTVko,0.714
Altamar,0.111,https://api.spotify.com/v1/audio-analysis/0hQ1YDgcYE0J2cypCoIPmj,0.588,289187,0.679,0hQ1YDgcYE0J2cypCoIPmj,1,0.0575,3,0.0733,-8.275,0,0.0315,168.051,4,https://api.spotify.com/v1/tracks/0hQ1YDgcYE0J2cypCoIPmj,audio_features,spotify:track:0hQ1YDgcYE0J2cypCoIPmj,0.517
Amnesiac,0.0267,https://api.spotify.com/v1/audio-analysis/2emshJuHMxue2dh0LujVIn,0.693,436799,0.613,2emshJuHMxue2dh0LujVIn,1,0.347,8,0.186,-8.14,0,0.0406,123.005,4,https://api.spotify.com/v1/tracks/2emshJuHMxue2dh0LujVIn,audio_features,spotify:track:2emshJuHMxue2dh0LujVIn,0.155
Amor,0.00903,https://api.spotify.com/v1/audio-analysis/0SDexja2ROnkduvrrzv9Mu,0.787,514765,0.433,0SDexja2ROnkduvrrzv9Mu,1,0.876,7,0.0849,-14.136,1,0.0558,124.013,4,https://api.spotify.com/v1/tracks/0SDexja2ROnkduvrrzv9Mu,audio_features,spotify:track:0SDexja2ROnkduvrrzv9Mu,0.161
Amsterdam (AMF 2016 Anthem),0.000754,https://api.spotify.com/v1/audio-analysis/3yzJxgqXvOQv77bsRe6aLu,0.555,162187,0.843,3yzJxgqXvOQv77bsRe6aLu,1,0.812,9,0.121,-5.265,0,0.057,128.079,4,https://api.spotify.com/v1/tracks/3yzJxgqXvOQv77bsRe6aLu,audio_features,spotify:track:3yzJxgqXvOQv77bsRe6aLu,0.217
Analogue Soul,0.0432,https://api.spotify.com/v1/audio-analysis/4Yvh9cTQj0TRuXEuYIYTza,0.523,286191,0.865,4Yvh9cTQj0TRuXEuYIYTza,1,0.0245,9,0.109,-2.484,0,0.045,126.008,4,https://api.spotify.com/v1/tracks/4Yvh9cTQj0TRuXEuYIYTza,audio_features,spotify:track:4Yvh9cTQj0TRuXEuYIYTza,0.217
Andale,0.00437,https://api.spotify.com/v1/audio-analysis/4Jko5G5AABzHIWGRgY0YAl,0.769,220952,0.964,4Jko5G5AABzHIWGRgY0YAl,1,0.206,11,0.0591,-3.853,0,0.215,126.033,4,https://api.spotify.com/v1/tracks/4Jko5G5AABzHIWGRgY0YAl,audio_features,spotify:track:4Jko5G5AABzHIWGRgY0YAl,0.698
Aniitime,0.09,https://api.spotify.com/v1/audio-analysis/5cRFJ1wHdiTriOoO0mSrcj,0.687,447727,0.583,5cRFJ1wHdiTriOoO0mSrcj,1,0.892,1,0.0921,-12.211,1,0.048,125.007,4,https://api.spotify.com/v1/tracks/5cRFJ1wHdiTriOoO0mSrcj,audio_features,spotify:track:5cRFJ1wHdiTriOoO0mSrcj,0.116
Anja,0.619,https://api.spotify.com/v1/audio-analysis/3NkZ6DpmPCqBQlYSIZbEOA,0.674,189240,0.598,3NkZ6DpmPCqBQlYSIZbEOA,1,0.0,9,0.349,-7.125,0,0.249,147.923,4,https://api.spotify.com/v1/tracks/3NkZ6DpmPCqBQlYSIZbEOA,audio_features,spotify:track:3NkZ6DpmPCqBQlYSIZbEOA,0.689
Anjo,0.00216,https://api.spotify.com/v1/audio-analysis/6J0HMNdWS4uewzwV1q4xog,0.809,240913,0.737,6J0HMNdWS4uewzwV1q4xog,1,0.819,5,0.079,-10.295,1,0.0563,115.0,4,https://api.spotify.com/v1/tracks/6J0HMNdWS4uewzwV1q4xog,audio_features,spotify:track:6J0HMNdWS4uewzwV1q4xog,0.599
Another Life - DubVision Remix,0.0129,https://api.spotify.com/v1/audio-analysis/6fFoU7NEPBViSyO0QZtX0M,0.615,191811,0.878,6fFoU7NEPBViSyO0QZtX0M,1,3.67e-06,5,0.589,-4.759,1,0.069,126.976,4,https://api.spotify.com/v1/tracks/6fFoU7NEPBViSyO0QZtX0M,audio_features,spotify:track:6fFoU7NEPBViSyO0QZtX0M,0.536
Anyway,0.00022,https://api.spotify.com/v1/audio-analysis/7jixthdZwDeHdQ8dBmNsAk,0.804,210001,0.471,7jixthdZwDeHdQ8dBmNsAk,1,0.825,11,0.063,-9.793,0,0.102,120.006,4,https://api.spotify.com/v1/tracks/7jixthdZwDeHdQ8dBmNsAk,audio_features,spotify:track:7jixthdZwDeHdQ8dBmNsAk,0.153
Anywhere,0.042,https://api.spotify.com/v1/audio-analysis/6IGxxiSifipUlqId7cioWW,0.561,189643,0.833,6IGxxiSifipUlqId7cioWW,1,0.000318,9,0.103,-5.933,1,0.0596,111.992,4,https://api.spotify.com/v1/tracks/6IGxxiSifipUlqId7cioWW,audio_features,spotify:track:6IGxxiSifipUlqId7cioWW,0.149
Anywhere I Go,0.146,https://api.spotify.com/v1/audio-analysis/1hdEBYBNu8qGxrVRgBZg3v,0.667,199959,0.783,1hdEBYBNu8qGxrVRgBZg3v,1,0.000113,11,0.144,-2.354,0,0.0313,107.955,4,https://api.spotify.com/v1/tracks/1hdEBYBNu8qGxrVRgBZg3v,audio_features,spotify:track:1hdEBYBNu8qGxrVRgBZg3v,0.504
Apache,0.017,https://api.spotify.com/v1/audio-analysis/5zOYgkGlFRwyzyKjuZbfMK,0.685,308236,0.902,5zOYgkGlFRwyzyKjuZbfMK,1,0.246,7,0.114,-4.782,1,0.079,128.022,4,https://api.spotify.com/v1/tracks/5zOYgkGlFRwyzyKjuZbfMK,audio_features,spotify:track:5zOYgkGlFRwyzyKjuZbfMK,0.524
Aquarius,0.835,https://api.spotify.com/v1/audio-analysis/7he8q81XbhsbLjOx7KijZR,0.45,196340,0.328,7he8q81XbhsbLjOx7KijZR,1,0.763,1,0.108,-10.951,0,0.0299,133.95,4,https://api.spotify.com/v1/tracks/7he8q81XbhsbLjOx7KijZR,audio_features,spotify:track:7he8q81XbhsbLjOx7KijZR,0.173
Arka - con Esteban Valdivia,0.674,https://api.spotify.com/v1/audio-analysis/6wgsyGZWm5nR45JVlgdf6M,0.763,249559,0.606,6wgsyGZWm5nR45JVlgdf6M,1,0.00973,0,0.238,-9.754,0,0.117,102.026,4,https://api.spotify.com/v1/tracks/6wgsyGZWm5nR45JVlgdf6M,audio_features,spotify:track:6wgsyGZWm5nR45JVlgdf6M,0.698
Around the World - Radio Edit [Radio Edit],0.00417,https://api.spotify.com/v1/audio-analysis/6XKvPNWlmnN0gJejCKm1k7,0.934,241467,0.76,6XKvPNWlmnN0gJejCKm1k7,1,0.906,7,0.0656,-5.549,1,0.148,121.302,4,https://api.spotify.com/v1/tracks/6XKvPNWlmnN0gJejCKm1k7,audio_features,spotify:track:6XKvPNWlmnN0gJejCKm1k7,0.864
Arriba Quemando el Sol,0.297,https://api.spotify.com/v1/audio-analysis/2LFlxAk2x9Ig2zTn6DS2Kw,0.705,208171,0.497,2LFlxAk2x9Ig2zTn6DS2Kw,1,0.000116,7,0.0743,-11.168,1,0.0593,163.972,4,https://api.spotify.com/v1/tracks/2LFlxAk2x9Ig2zTn6DS2Kw,audio_features,spotify:track:2LFlxAk2x9Ig2zTn6DS2Kw,0.471
Aspen,0.405,https://api.spotify.com/v1/audio-analysis/4B9mroudmtWsLNplycYTxN,0.646,270179,0.519,4B9mroudmtWsLNplycYTxN,1,0.843,4,0.102,-8.696,0,0.0436,83.975,4,https://api.spotify.com/v1/tracks/4B9mroudmtWsLNplycYTxN,audio_features,spotify:track:4B9mroudmtWsLNplycYTxN,0.72
At Night,0.119,https://api.spotify.com/v1/audio-analysis/2DlUayNWiPlAqMi1dQC67f,0.869,188948,0.911,2DlUayNWiPlAqMi1dQC67f,1,0.568,2,0.121,-5.782,1,0.0796,125.989,4,https://api.spotify.com/v1/tracks/2DlUayNWiPlAqMi1dQC67f,audio_features,spotify:track:2DlUayNWiPlAqMi1dQC67f,0.38
Atom,2.45e-05,https://api.spotify.com/v1/audio-analysis/0rVqIGl7XaM4jflVj6Ocvf,0.564,152812,0.937,0rVqIGl7XaM4jflVj6Ocvf,1,0.776,1,0.253,-5.327,1,0.0439,127.969,4,https://api.spotify.com/v1/tracks/0rVqIGl7XaM4jflVj6Ocvf,audio_features,spotify:track:0rVqIGl7XaM4jflVj6Ocvf,0.175
